Paket No;Uydu Statusu;Hata Kodu;Gonderme Saati;Basinc1;Basinc2;Yukseklik1;Yukseklik2;Irtifa Farki;Inis Hizi;Sicaklik;Pil Gerilimi;Latitude;Longitude;Altitude;Pitch;Roll;Yaw;RHRH;IoT S1 Data;IoT S2 Data;Takim No
41374356;0;;17/05/25,17/20/05;880.80;0.00;-0.05;0.00;0.00;0.00;23.44;0.00;0.000000;0.000000;0.00;359.94;-2.44;-3.44;;1903.19;0.00;613581
43357167;0;;17/05/25,17/20/06;880.81;0.00;-0.06;0.00;0.00;0.00;23.44;0.00;0.000000;0.000000;0.00;359.94;-2.44;-3.44;;1903.19;0.00;613581
45337552;0;;17/05/25,17/20/07;880.79;0.00;-0.03;0.00;0.00;1.95;23.44;0.00;0.000000;0.000000;0.00;359.94;-2.44;-3.44;;1903.19;0.00;613581
47320247;0;;17/05/25,17/20/08;880.82;0.00;-0.08;0.00;0.00;0.00;23.45;0.00;0.000000;0.000000;0.00;359.94;-2.44;-3.44;;1903.19;0.00;613581
49300548;0;;17/05/25,17/20/09;880.81;0.00;-0.06;0.00;0.00;0.37;23.45;0.00;0.000000;0.000000;0.00;359.94;-2.44;-3.44;;1903.19;0.00;613581
51283284;0;;17/05/25,17/20/10;880.80;0.00;-0.05;0.00;0.00;0.74;23.45;0.00;0.000000;0.000000;0.00;359.94;-2.44;-3.44;;1903.19;0.00;613581
53263457;0;;17/05/25,17/20/11;880.82;0.00;-0.08;0.00;0.00;0.84;23.45;0.00;0.000000;0.000000;0.00;359.94;-2.44;-3.44;;1903.19;0.00;613581
55248376;0;;17/05/25,17/20/12;880.82;0.00;-0.08;0.00;0.00;0.47;23.45;0.00;0.000000;0.000000;0.00;359.94;-2.44;-3.44;;1903.19;0.00;613581
57228211;0;;17/05/25,17/20/13;880.85;0.00;-0.13;0.00;0.00;-1.21;23.45;0.00;0.000000;0.000000;0.00;359.94;-2.44;-3.44;;1903.19;0.00;613581
59213162;0;;17/05/25,17/20/14;880.84;0.00;-0.11;0.00;0.00;0.74;23.45;0.00;0.000000;0.000000;0.00;359.94;-2.44;-3.44;;1903.19;0.00;613581
61195602;0;;17/05/25,17/20/15;880.82;0.00;-0.08;0.00;0.00;2.33;23.45;0.00;0.000000;0.000000;0.00;359.94;-2.44;-3.44;;1903.19;0.00;613581
63178148;0;;17/05/25,17/20/16;880.83;0.00;-0.10;0.00;0.00;0.37;23.46;0.00;0.000000;0.000000;0.00;359.94;-2.44;-3.44;;1903.19;0.00;613581
65160948;0;;17/05/25,17/20/17;880.84;0.00;-0.11;0.00;0.00;-0.84;23.46;0.00;0.000000;0.000000;0.00;359.94;-2.44;-3.44;;1903.19;0.00;613581
67143738;0;;17/05/25,17/20/18;880.88;0.00;-0.18;0.00;0.00;-1.49;23.46;0.00;0.000000;0.000000;0.00;359.94;-2.44;-3.44;;1903.19;0.00;613581
69126633;0;;17/05/25,17/20/19;880.85;0.00;-0.13;0.00;0.00;-0.74;23.46;0.00;0.000000;0.000000;0.00;359.94;-2.44;-3.44;;1903.19;0.00;613581
71109401;0;;17/05/25,17/20/20;880.86;0.00;-0.14;0.00;0.00;-0.37;23.46;0.00;0.000000;0.000000;0.00;359.94;-2.44;-3.44;;1903.19;0.00;613581
73091979;0;;17/05/25,17/20/21;880.87;0.00;-0.16;0.00;0.00;-1.12;23.47;0.00;0.000000;0.000000;0.00;359.94;-2.44;-3.44;;1903.19;0.00;613581
75072216;0;;17/05/25,17/20/22;880.83;0.00;-0.10;0.00;0.00;1.49;23.47;0.00;0.000000;0.000000;0.00;359.94;-2.44;-3.44;;1903.19;0.00;613581
77054968;0;;17/05/25,17/20/23;880.83;0.00;-0.10;0.00;0.00;0.37;23.47;0.00;0.000000;0.000000;0.00;359.94;-2.44;-3.44;;1903.19;0.00;613581
79037572;0;;17/05/25,17/20/24;880.86;0.00;-0.14;0.00;0.00;-0.74;23.47;0.00;0.000000;0.000000;0.00;359.94;-2.44;-3.44;;1903.19;0.00;613581
81020302;0;;17/05/25,17/20/25;880.87;0.00;-0.16;0.00;0.00;-0.74;23.46;0.00;0.000000;0.000000;0.00;359.94;-2.44;-3.44;;1903.19;0.00;613581
83000268;0;;17/05/25,17/20/26;880.85;0.00;-0.13;0.00;0.00;-0.74;23.46;0.00;0.000000;0.000000;0.00;359.94;-2.44;-3.44;;1903.19;0.00;613581
84982554;0;;17/05/25,17/20/27;880.85;0.00;-0.13;0.00;0.00;-0.37;23.46;0.00;0.000000;0.000000;0.00;359.94;-2.44;-3.44;;1903.19;0.00;613581
86962287;0;;17/05/25,17/20/28;880.87;0.00;-0.16;0.00;0.00;0.00;23.46;0.00;0.000000;0.000000;0.00;359.94;-2.44;-3.44;;1903.19;0.00;613581
88944393;0;;17/05/25,17/20/29;880.84;0.00;-0.11;0.00;0.00;0.74;23.46;0.00;0.000000;0.000000;0.00;359.94;-2.44;-3.44;;1903.19;0.00;613581
90921578;0;;17/05/25,17/20/30;880.87;0.00;-0.16;0.00;0.00;-1.12;23.46;0.00;0.000000;0.000000;0.00;359.94;-2.44;-3.44;;1903.19;0.00;613581
92906580;0;;17/05/25,17/20/31;880.84;0.00;-0.11;0.00;0.00;0.37;23.46;0.00;0.000000;0.000000;0.00;359.94;-2.44;-3.44;;1903.19;0.00;613581
94886228;0;;17/05/25,17/20/32;880.84;0.00;-0.11;0.00;0.00;1.12;23.47;0.00;0.000000;0.000000;0.00;359.94;-2.44;-3.44;;1903.19;0.00;613581
96868451;0;;17/05/25,17/20/33;880.86;0.00;-0.14;0.00;0.00;-0.37;23.46;0.00;0.000000;0.000000;0.00;359.94;-2.44;-3.44;;1903.19;0.00;613581
98850356;0;;17/05/25,17/20/34;880.85;0.00;-0.13;0.00;0.00;-1.21;23.46;0.00;0.000000;0.000000;0.00;359.94;-2.44;-3.44;;1903.19;0.00;613581
100832239;0;;17/05/25,17/20/35;880.84;0.00;-0.11;0.00;0.00;0.37;23.47;0.00;0.000000;0.000000;0.00;359.94;-2.44;-3.44;;1903.19;0.00;613581
102816463;0;;17/05/25,17/20/36;880.80;0.00;-0.05;0.00;0.00;1.58;23.47;0.00;0.000000;0.000000;0.00;359.94;-2.44;-3.44;;1903.19;0.00;613581
104798006;0;;17/05/25,17/20/37;880.80;0.00;-0.05;0.00;0.00;1.58;23.47;0.00;0.000000;0.000000;0.00;359.94;-2.44;-3.44;;1903.19;0.00;613581
106782087;0;;17/05/25,17/20/38;880.82;0.00;-0.08;0.00;0.00;0.00;23.47;0.00;0.000000;0.000000;0.00;359.94;-2.44;-3.44;;1903.19;0.00;613581
108763541;0;;17/05/25,17/20/39;880.84;0.00;-0.11;0.00;0.00;-1.21;23.46;0.00;0.000000;0.000000;0.00;359.94;-2.44;-3.44;;1903.19;0.00;613581
110747437;0;;17/05/25,17/20/40;880.81;0.00;-0.06;0.00;0.00;-0.37;23.46;0.00;0.000000;0.000000;0.00;359.94;-2.44;-3.44;;1903.19;0.00;613581
112728801;0;;17/05/25,17/20/41;880.79;0.00;-0.03;0.00;0.00;-0.37;23.46;0.00;0.000000;0.000000;0.00;359.94;-2.44;-3.44;;1903.19;0.00;613581
114714989;0;;17/05/25,17/20/42;880.79;0.00;-0.03;0.00;0.00;0.37;23.47;0.00;0.000000;0.000000;0.00;359.94;-2.44;-3.44;;1903.19;0.00;613581
116698731;0;;17/05/25,17/20/43;880.81;0.00;-0.06;0.00;0.00;-0.37;23.48;0.00;0.000000;0.000000;0.00;359.94;-2.44;-3.44;;1903.19;0.00;613581
118682272;0;;17/05/25,17/20/44;880.80;0.00;-0.05;0.00;0.00;0.00;23.47;0.00;0.000000;0.000000;0.00;359.94;-2.44;-3.44;;1903.19;0.00;613581
120665569;0;;17/05/25,17/20/45;880.80;0.00;-0.05;0.00;0.00;0.00;23.48;0.00;0.000000;0.000000;0.00;359.94;-2.44;-3.44;;1903.19;0.00;613581
122651430;0;;17/05/25,17/20/46;880.80;0.00;-0.05;0.00;0.00;-0.37;23.49;0.00;0.000000;0.000000;0.00;359.94;-2.44;-3.44;;1903.19;0.00;613581
124637366;0;;17/05/25,17/20/47;880.79;0.00;-0.03;0.00;0.00;-0.37;23.49;0.00;0.000000;0.000000;0.00;359.94;-2.44;-3.44;;1903.19;0.00;613581
126620568;0;;17/05/25,17/20/48;880.80;0.00;-0.05;0.00;0.00;0.37;23.50;0.00;0.000000;0.000000;0.00;359.94;-2.44;-3.44;;1903.19;0.00;613581
128606186;0;;17/05/25,17/20/49;880.81;0.00;-0.06;0.00;0.00;0.84;23.51;0.00;0.000000;0.000000;0.00;359.94;-2.44;-3.44;;1903.19;0.00;613581
130586878;0;;17/05/25,17/20/50;880.82;0.00;-0.08;0.00;0.00;-1.49;23.52;0.00;0.000000;0.000000;0.00;359.94;-2.44;-3.44;;1903.19;0.00;613581
132570209;0;;17/05/25,17/20/51;880.83;0.00;-0.10;0.00;0.00;-1.21;23.51;0.00;0.000000;0.000000;0.00;359.94;-2.44;-3.44;;1903.19;0.00;613581
134551271;0;;17/05/25,17/20/52;880.82;0.00;-0.08;0.00;0.00;-1.12;23.52;0.00;0.000000;0.000000;0.00;359.94;-2.44;-3.44;;1903.19;0.00;613581
136534876;0;;17/05/25,17/20/53;880.85;0.00;-0.13;0.00;0.00;-1.21;23.53;0.00;0.000000;0.000000;0.00;359.94;-2.44;-3.44;;1903.19;0.00;613581
138518450;0;;17/05/25,17/20/54;880.82;0.00;-0.08;0.00;0.00;0.00;23.52;0.00;0.000000;0.000000;0.00;359.94;-2.44;-3.44;;1903.19;0.00;613581
140499630;0;;17/05/25,17/20/55;880.82;0.00;-0.08;0.00;0.00;1.21;23.52;0.00;0.000000;0.000000;0.00;359.94;-2.44;-3.44;;1903.19;0.00;613581
142483410;0;;17/05/25,17/20/56;880.82;0.00;-0.08;0.00;0.00;0.47;23.52;0.00;0.000000;0.000000;0.00;359.94;-2.44;-3.44;;1903.19;0.00;613581
144462583;0;;17/05/25,17/20/57;880.79;0.00;-0.03;0.00;0.00;1.95;23.51;0.00;0.000000;0.000000;0.00;359.94;-2.44;-3.44;;1903.19;0.00;613581
146444394;0;;17/05/25,17/20/58;880.81;0.00;-0.06;0.00;0.00;0.00;23.51;0.00;0.000000;0.000000;0.00;359.94;-2.44;-3.44;;1903.19;0.00;613581
148423969;0;;17/05/25,17/20/59;880.78;0.00;-0.02;0.00;0.00;1.12;23.52;0.00;0.000000;0.000000;0.00;359.94;-2.44;-3.44;;1903.19;0.00;613581
150406309;0;;17/05/25,17/21/00;880.75;0.00;0.03;0.00;0.00;1.12;23.53;0.00;0.000000;0.000000;0.00;359.94;-2.44;-3.44;;1903.19;0.00;613581
152386277;0;;17/05/25,17/21/01;880.78;0.00;-0.02;0.00;0.00;0.37;23.53;0.00;0.000000;0.000000;0.00;359.94;-2.44;-3.44;;1903.19;0.00;613581
154371286;0;;17/05/25,17/21/02;880.75;0.00;0.03;0.00;0.00;0.37;23.53;0.00;0.000000;0.000000;0.00;359.94;-2.44;-3.44;;1903.19;0.00;613581
156351327;0;;17/05/25,17/21/03;880.77;0.00;0.00;0.00;0.00;0.37;23.54;0.00;0.000000;0.000000;0.00;359.94;-2.44;-3.44;;1903.19;0.00;613581
158333911;0;;17/05/25,17/21/04;880.78;0.00;-0.02;0.00;0.00;0.00;23.53;0.00;0.000000;0.000000;0.00;359.94;-2.44;-3.44;;1903.19;0.00;613581
160316700;0;;17/05/25,17/21/05;880.78;0.00;-0.02;0.00;0.00;-0.74;23.53;0.00;0.000000;0.000000;0.00;359.94;-2.44;-3.44;;1903.19;0.00;613581
162296846;0;;17/05/25,17/21/06;880.78;0.00;-0.02;0.00;0.00;-1.58;23.53;0.00;0.000000;0.000000;0.00;359.94;-2.44;-3.44;;1903.19;0.00;613581
164279587;0;;17/05/25,17/21/07;880.75;0.00;0.03;0.00;0.00;0.37;23.53;0.00;0.000000;0.000000;0.00;359.94;-2.44;-3.44;;1903.19;0.00;613581
166262233;0;;17/05/25,17/21/08;880.78;0.00;-0.02;0.00;0.00;-0.74;23.52;0.00;0.000000;0.000000;0.00;359.94;-2.44;-3.44;;1903.19;0.00;613581
168244700;0;;17/05/25,17/21/09;880.82;0.00;-0.08;0.00;0.00;-1.12;23.53;0.00;0.000000;0.000000;0.00;359.94;-2.44;-3.44;;1903.19;0.00;613581
170224703;0;;17/05/25,17/21/10;880.81;0.00;-0.06;0.00;0.00;-1.12;23.52;0.00;0.000000;0.000000;0.00;359.94;-2.44;-3.44;;1903.19;0.00;613581
172209791;0;;17/05/25,17/21/11;880.81;0.00;-0.06;0.00;0.00;0.00;23.54;0.00;0.000000;0.000000;0.00;359.94;-2.44;-3.44;;1903.19;0.00;613581
174192591;0;;17/05/25,17/21/12;880.80;0.00;-0.05;0.00;0.00;0.74;23.53;0.00;0.000000;0.000000;0.00;359.94;-2.44;-3.44;;1903.19;0.00;613581
176175540;0;;17/05/25,17/21/13;880.80;0.00;-0.05;0.00;0.00;1.21;23.52;0.00;0.000000;0.000000;0.00;359.94;-2.44;-3.44;;1903.19;0.00;613581
178158468;0;;17/05/25,17/21/14;880.82;0.00;-0.08;0.00;0.00;-0.37;23.53;0.00;0.000000;0.000000;0.00;359.94;-2.44;-3.44;;1903.19;0.00;613581
180139044;0;;17/05/25,17/21/15;880.83;0.00;-0.10;0.00;0.00;-0.84;23.53;0.00;0.000000;0.000000;0.00;359.94;-2.44;-3.44;;1903.19;0.00;613581
182124683;0;;17/05/25,17/21/16;880.80;0.00;-0.05;0.00;0.00;0.74;23.53;0.00;0.000000;0.000000;0.00;359.94;-2.44;-3.44;;1903.19;0.00;613581
184107853;0;;17/05/25,17/21/17;880.76;0.00;0.02;0.00;0.00;0.74;23.53;0.00;0.000000;0.000000;0.00;359.94;-2.44;-3.44;;1903.19;0.00;613581
186093841;0;;17/05/25,17/21/18;880.77;0.00;0.00;0.00;0.00;0.74;23.53;0.00;0.000000;0.000000;0.00;359.94;-2.44;-3.44;;1903.19;0.00;613581
188077631;0;;17/05/25,17/21/19;880.79;0.00;-0.03;0.00;0.00;-0.37;23.54;0.00;0.000000;0.000000;0.00;359.94;-2.44;-3.44;;1903.19;0.00;613581
190061459;0;;17/05/25,17/21/20;880.79;0.00;-0.03;0.00;0.00;0.37;23.55;0.00;0.000000;0.000000;0.00;359.94;-2.44;-3.44;;1903.19;0.00;613581
192042586;0;;17/05/25,17/21/21;880.82;0.00;-0.08;0.00;0.00;-0.37;23.54;0.00;0.000000;0.000000;0.00;359.94;-2.44;-3.44;;1903.19;0.00;613581
194026350;0;;17/05/25,17/21/22;880.80;0.00;-0.05;0.00;0.00;-0.74;23.54;0.00;0.000000;0.000000;0.00;359.94;-2.44;-3.44;;1903.19;0.00;613581
196010040;0;;17/05/25,17/21/23;880.79;0.00;-0.03;0.00;0.00;0.00;23.54;0.00;0.000000;0.000000;0.00;359.94;-2.44;-3.44;;1903.19;0.00;613581
197991050;0;;17/05/25,17/21/24;880.80;0.00;-0.05;0.00;0.00;-1.12;23.54;0.00;0.000000;0.000000;0.00;359.94;-2.44;-3.44;;1903.19;0.00;613581
199972050;0;;17/05/25,17/21/25;880.76;0.00;0.02;0.00;0.00;0.00;23.54;0.00;0.000000;0.000000;0.00;359.94;-2.44;-3.44;;1903.19;0.00;613581
201953326;0;;17/05/25,17/21/26;880.72;0.00;0.08;0.00;0.00;-0.37;23.54;0.00;0.000000;0.000000;0.00;359.94;-2.44;-3.44;;1903.19;0.00;613581
203937078;0;;17/05/25,17/21/27;880.74;0.00;0.05;0.00;0.00;0.00;23.54;0.00;0.000000;0.000000;0.00;359.94;-2.44;-3.44;;1903.19;0.00;613581
205918298;0;;17/05/25,17/21/28;880.76;0.00;0.02;0.00;0.00;0.37;23.55;0.00;0.000000;0.000000;0.00;359.94;-2.44;-3.44;;1903.19;0.00;613581
207901881;0;;17/05/25,17/21/29;880.78;0.00;-0.02;0.00;0.00;0.00;23.55;0.00;0.000000;0.000000;0.00;359.94;-2.44;-3.44;;1903.19;0.00;613581
209882403;0;;17/05/25,17/21/30;880.78;0.00;-0.02;0.00;0.00;0.74;23.55;0.00;0.000000;0.000000;0.00;359.94;-2.44;-3.44;;1903.19;0.00;613581
211865413;0;;17/05/25,17/21/31;880.78;0.00;-0.02;0.00;0.00;0.74;23.56;0.00;0.000000;0.000000;0.00;359.94;-2.44;-3.44;;1903.19;0.00;613581
213848118;0;;17/05/25,17/21/32;880.78;0.00;-0.02;0.00;0.00;0.37;23.57;0.00;0.000000;0.000000;0.00;359.94;-2.44;-3.44;;1903.19;0.00;613581
215828100;0;;17/05/25,17/21/33;880.81;0.00;-0.06;0.00;0.00;-1.49;23.57;0.00;0.000000;0.000000;0.00;359.94;-2.44;-3.44;;1903.19;0.00;613581
217810630;0;;17/05/25,17/21/34;880.79;0.00;-0.03;0.00;0.00;0.37;23.57;0.00;0.000000;0.000000;0.00;359.94;-2.44;-3.44;;1903.19;0.00;613581
219790406;0;;17/05/25,17/21/35;880.80;0.00;-0.05;0.00;0.00;0.00;23.57;0.00;0.000000;0.000000;0.00;359.94;-2.44;-3.44;;1903.19;0.00;613581
221772438;0;;17/05/25,17/21/36;880.78;0.00;-0.02;0.00;0.00;-0.37;23.57;0.00;0.000000;0.000000;0.00;359.94;-2.44;-3.44;;1903.19;0.00;613581
223751879;0;;17/05/25,17/21/37;880.79;0.00;-0.03;0.00;0.00;1.12;23.56;0.00;0.000000;0.000000;0.00;359.94;-2.44;-3.44;;1903.19;0.00;613581
225733947;0;;17/05/25,17/21/38;880.79;0.00;-0.03;0.00;0.00;-0.37;23.57;0.00;0.000000;0.000000;0.00;359.94;-2.44;-3.44;;1903.19;0.00;613581
227713823;0;;17/05/25,17/21/39;880.80;0.00;-0.05;0.00;0.00;0.37;23.56;0.00;0.000000;0.000000;0.00;359.94;-2.44;-3.44;;1903.19;0.00;613581
229696315;0;;17/05/25,17/21/40;880.76;0.00;0.02;0.00;0.00;0.37;23.56;0.00;0.000000;0.000000;0.00;359.94;-2.44;-3.44;;1903.19;0.00;613581
231678855;0;;17/05/25,17/21/41;880.77;0.00;0.00;0.00;0.00;-0.37;23.56;0.00;0.000000;0.000000;0.00;359.94;-2.44;-3.44;;1903.19;0.00;613581
233664064;0;;17/05/25,17/21/42;880.79;0.00;-0.03;0.00;0.00;-0.74;23.56;0.00;0.000000;0.000000;0.00;359.94;-2.44;-3.44;;1903.19;0.00;613581
235649046;0;;17/05/25,17/21/43;880.79;0.00;-0.03;0.00;0.00;0.00;23.56;0.00;0.000000;0.000000;0.00;359.94;-2.44;-3.44;;1903.19;0.00;613581
237628860;0;;17/05/25,17/21/44;880.81;0.00;-0.06;0.00;0.00;-0.74;23.55;0.00;0.000000;0.000000;0.00;359.94;-2.44;-3.44;;1903.19;0.00;613581
239613778;0;;17/05/25,17/21/45;880.81;0.00;-0.06;0.00;0.00;0.37;23.56;0.00;0.000000;0.000000;0.00;359.94;-2.44;-3.37;;1903.19;0.00;613581
241596198;0;;17/05/25,17/21/46;880.80;0.00;-0.05;0.00;0.00;0.37;23.56;0.00;0.000000;0.000000;0.00;359.94;-2.44;-3.37;;1903.19;0.00;613581
243580973;0;;17/05/25,17/21/47;880.79;0.00;-0.03;0.00;0.00;-0.37;23.55;0.00;0.000000;0.000000;0.00;359.94;-2.44;-3.37;;1903.19;0.00;613581
245563005;0;;17/05/25,17/21/48;880.79;0.00;-0.03;0.00;0.00;-0.37;23.55;0.00;0.000000;0.000000;0.00;359.94;-2.44;-3.37;;1903.19;0.00;613581
247542320;0;;17/05/25,17/21/49;880.77;0.00;0.00;0.00;0.00;0.00;23.56;0.00;0.000000;0.000000;0.00;359.94;-2.44;-3.37;;1903.19;0.00;613581
249526604;0;;17/05/25,17/21/50;880.79;0.00;-0.03;0.00;0.00;-1.49;23.56;0.00;0.000000;0.000000;0.00;359.94;-2.44;-3.37;;1903.19;0.00;613581
251508398;0;;17/05/25,17/21/51;880.75;0.00;0.03;0.00;0.00;-0.47;23.57;0.00;0.000000;0.000000;0.00;359.94;-2.44;-3.37;;1903.19;0.00;613581
253487787;0;;17/05/25,17/21/52;880.76;0.00;0.02;0.00;0.00;-0.84;23.57;0.00;0.000000;0.000000;0.00;359.94;-2.44;-3.37;;1903.19;0.00;613581
255467324;0;;17/05/25,17/21/53;880.76;0.00;0.02;0.00;0.00;-1.58;23.57;0.00;0.000000;0.000000;0.00;359.94;-2.44;-3.37;;1903.19;0.00;613581
257449309;0;;17/05/25,17/21/54;880.76;0.00;0.02;0.00;0.00;0.37;23.57;0.00;0.000000;0.000000;0.00;359.94;-2.44;-3.37;;1903.19;0.00;613581
259431521;0;;17/05/25,17/21/55;880.77;0.00;0.00;0.00;0.00;1.12;23.57;0.00;0.000000;0.000000;0.00;359.94;-2.44;-3.37;;1903.19;0.00;613581
261411138;0;;17/05/25,17/21/56;880.81;0.00;-0.06;0.00;0.00;-0.37;23.57;0.00;0.000000;0.000000;0.00;359.94;-2.44;-3.37;;1903.19;0.00;613581
263393095;0;;17/05/25,17/21/57;880.82;0.00;-0.08;0.00;0.00;0.00;23.57;0.00;0.000000;0.000000;0.00;359.94;-2.44;-3.37;;1903.19;0.00;613581
265372807;0;;17/05/25,17/21/58;880.77;0.00;0.00;0.00;0.00;1.12;23.57;0.00;0.000000;0.000000;0.00;359.94;-2.44;-3.37;;1903.19;0.00;613581
267358059;0;;17/05/25,17/21/59;880.83;0.00;-0.10;0.00;0.00;-0.47;23.57;0.00;0.000000;0.000000;0.00;359.94;-2.44;-3.37;;1903.19;0.00;613581
269341002;0;;17/05/25,17/22/00;880.83;0.00;-0.10;0.00;0.00;0.37;23.57;0.00;0.000000;0.000000;0.00;359.94;-2.44;-3.37;;1903.19;0.00;613581
271321292;0;;17/05/25,17/22/01;880.86;0.00;-0.14;0.00;0.00;0.37;23.57;0.00;0.000000;0.000000;0.00;359.94;-2.44;-3.37;;1903.19;0.00;613581
273304135;0;;17/05/25,17/22/02;880.83;0.00;-0.10;0.00;0.00;0.74;23.57;0.00;0.000000;0.000000;0.00;359.94;-2.44;-3.37;;1903.19;0.00;613581
275286500;0;;17/05/25,17/22/03;880.85;0.00;-0.13;0.00;0.00;1.49;23.58;0.00;0.000000;0.000000;0.00;359.94;-2.44;-3.37;;1903.19;0.00;613581
277268791;0;;17/05/25,17/22/04;880.87;0.00;-0.16;0.00;0.00;-0.37;23.58;0.00;0.000000;0.000000;0.00;359.94;-2.44;-3.37;;1903.19;0.00;613581
279251363;0;;17/05/25,17/22/05;880.84;0.00;-0.11;0.00;0.00;1.12;23.57;0.00;0.000000;0.000000;0.00;359.94;-2.44;-3.37;;1903.19;0.00;613581
281238775;0;;17/05/25,17/22/06;880.86;0.00;-0.14;0.00;0.00;-0.74;23.58;0.00;0.000000;0.000000;0.00;359.94;-2.44;-3.37;;1903.19;0.00;613581
283221097;0;;17/05/25,17/22/07;880.80;0.00;-0.05;0.00;0.00;2.33;23.58;0.00;0.000000;0.000000;0.00;359.94;-2.44;-3.37;;1903.19;0.00;613581
285203313;0;;17/05/25,17/22/08;880.83;0.00;-0.10;0.00;0.00;-0.47;23.58;0.00;0.000000;0.000000;0.00;359.94;-2.44;-3.37;;1903.19;0.00;613581
287185805;0;;17/05/25,17/22/09;880.83;0.00;-0.10;0.00;0.00;-0.47;23.58;0.00;0.000000;0.000000;0.00;359.94;-2.44;-3.37;;1903.19;0.00;613581
289170802;0;;17/05/25,17/22/10;880.82;0.00;-0.08;0.00;0.00;0.00;23.59;0.00;0.000000;0.000000;0.00;359.94;-2.44;-3.37;;1903.19;0.00;613581
291151033;0;;17/05/25,17/22/11;880.82;0.00;-0.08;0.00;0.00;-0.37;23.59;0.00;0.000000;0.000000;0.00;359.94;-2.44;-3.37;;1903.19;0.00;613581
293139092;0;;17/05/25,17/22/12;880.82;0.00;-0.08;0.00;0.00;-0.37;23.59;0.00;0.000000;0.000000;0.00;359.94;-2.44;-3.37;;1903.19;0.00;613581
