Paket No;Uydu Statusu;Hata Kodu;Gonderme Saati;Basinc1;Basinc2;Yukseklik1;Yukseklik2;Irtifa Farki;Inis Hizi;Sicaklik;Pil Gerilimi;Latitude;Longitude;Altitude;Pitch;Roll;Yaw;RHRH;IoT S1 Data;IoT S2 Data;Takim No
2006183;0;;17/05/25,17/19/41;880.82;0.00;-0.02;0.00;0.00;0.00;23.40;0.00;0.000000;0.000000;0.00;0.00;-2.44;-3.37;;1903.19;0.00;613581
4268628;0;;17/05/25,17/19/42;880.81;0.00;0.00;0.00;0.00;-0.37;23.41;0.00;0.000000;0.000000;0.00;0.00;-2.44;-3.37;;1903.19;0.00;613581
6536157;0;;17/05/25,17/19/43;880.82;0.00;-0.02;0.00;0.00;-0.74;23.41;0.00;0.000000;0.000000;0.00;0.00;-2.44;-3.37;;1903.19;0.00;613581
8801144;0;;17/05/25,17/19/44;880.77;0.00;0.06;0.00;0.00;1.86;23.42;0.00;0.000000;0.000000;0.00;0.00;-2.44;-3.37;;1903.19;0.00;613581
11068673;0;;17/05/25,17/19/45;880.79;0.00;0.03;0.00;0.00;0.00;23.42;0.00;0.000000;0.000000;0.00;0.00;-2.44;-3.37;;1903.19;0.00;613581
13331118;0;;17/05/25,17/19/46;880.80;0.00;0.02;0.00;0.00;0.74;23.42;0.00;0.000000;0.000000;0.00;0.00;-2.44;-3.37;;1903.19;0.00;613581
15598647;0;;17/05/25,17/19/47;880.80;0.00;0.02;0.00;0.00;-0.37;23.43;0.00;0.000000;0.000000;0.00;0.00;-2.44;-3.37;;1903.19;0.00;613581
17861092;0;;17/05/25,17/19/48;880.77;0.00;0.06;0.00;0.00;0.74;23.44;0.00;0.000000;0.000000;0.00;0.00;-2.44;-3.37;;1903.19;0.00;613581
20126079;0;;17/05/25,17/19/49;880.78;0.00;0.05;0.00;0.00;0.37;23.43;0.00;0.000000;0.000000;0.00;0.00;-2.44;-3.37;;1903.19;0.00;613581
22391066;0;;17/05/25,17/19/50;880.80;0.00;0.02;0.00;0.00;0.37;23.43;0.00;0.000000;0.000000;0.00;0.00;-2.44;-3.37;;1903.19;0.00;613581
24656053;0;;17/05/25,17/19/51;880.77;0.00;0.06;0.00;0.00;0.74;23.43;0.00;0.000000;0.000000;0.00;0.00;-2.44;-3.37;;1903.19;0.00;613581
26918498;0;;17/05/25,17/19/52;880.77;0.00;0.06;0.00;0.00;0.74;23.43;0.00;0.000000;0.000000;0.00;0.00;-2.44;-3.37;;1903.19;0.00;613581
29186027;0;;17/05/25,17/19/53;880.77;0.00;0.06;0.00;0.00;0.00;23.44;0.00;0.000000;0.000000;0.00;0.00;-2.44;-3.37;;1903.19;0.00;613581
31448472;0;;17/05/25,17/19/54;880.75;0.00;0.09;0.00;0.00;0.37;23.44;0.00;0.000000;0.000000;0.00;0.00;-2.44;-3.37;;1903.19;0.00;613581
33454584;0;;17/05/25,17/20/01;880.79;0.00;-0.03;0.00;0.00;-0.37;23.43;0.00;0.000000;0.000000;0.00;359.94;-2.44;-3.44;;1903.19;0.00;613581
35427618;0;;17/05/25,17/20/02;880.78;0.00;-0.02;0.00;0.00;0.37;23.43;0.00;0.000000;0.000000;0.00;359.94;-2.44;-3.44;;1903.19;0.00;613581
37410895;0;;17/05/25,17/20/03;880.78;0.00;-0.02;0.00;0.00;0.74;23.43;0.00;0.000000;0.000000;0.00;359.94;-2.44;-3.44;;1903.19;0.00;613581
39393982;0;;17/05/25,17/20/04;880.82;0.00;-0.08;0.00;0.00;-0.37;23.44;0.00;0.000000;0.000000;0.00;359.94;-2.44;-3.44;;1903.19;0.00;613581
